Geological_Feature,Setting,Constraint_Type,Definition,Piles_Assessment,Suction_Caisson_Assessment,GBS_Assessment,Cables_Assessment,Dominant_Constraint,Comments,References
Ridge,Physiography,Relief,"An elongated elevation of varying Constraint, size and gradient. Variable steepness, but usually has sloping sides greater than 5 degrees. (Stagpoole and Mackay, 2022)",Moderate constraint,Moderate constraint,Moderate constraint,Moderate constraint,Uneven ground,May require seabed preparation before installation of foundations.,"https://nora.nerc.ac.uk/id/eprint/514946/1/Seabed_Geomorpholgy_classification_BGS_Open_Report.pdf
Dove et al. (2020) https://zenodo.org/records/4075248
Nanson et al. (2023) - https://zenodo.org/record/7804019#.ZGZl6qXMK3B"
Moat,Physiography,Relief,"An annular or partially annular bathymetric low typically located at the base of isolated raised features (modified from IHO, 2019).",Moderate constraint,Moderate constraint,Moderate constraint,Moderate constraint,Uneven ground,May require seabed preparation before installation of foundations.,"https://nora.nerc.ac.uk/id/eprint/514946/1/Seabed_Geomorpholgy_classification_BGS_Open_Report.pdf
Dove et al. (2020) https://zenodo.org/records/4075248
Nanson et al. (2023) - https://zenodo.org/record/7804019#.ZGZl6qXMK3B"
Plateau / topographic high,Physiography,Relief,"A generally closed-contoured, relatively flat-topped bathymetric high with one or more relatively steep sides (modified from IHO, 2019).",Moderate constraint,Higher Constraint,Higher Constraint,Moderate constraint,>5 degree slope,May require seabed preparation before installation of foundations.,"https://nora.nerc.ac.uk/id/eprint/514946/1/Seabed_Geomorpholgy_classification_BGS_Open_Report.pdf
Dove et al. (2020) https://zenodo.org/records/4075248
Nanson et al. (2023) - https://zenodo.org/record/7804019#.ZGZl6qXMK3B"
Depression/ hole,Physiography,Relief,"A general term for a closed-contour bathymetric low.
DEPRESSIONS vary in scale from small local features to larger basins. They generally have lower gradient sides than HOLES.",Moderate constraint,Moderate constraint,Moderate constraint,Moderate constraint,Uneven ground,May require seabed preparation before installation of foundations.,"https://nora.nerc.ac.uk/id/eprint/514946/1/Seabed_Geomorpholgy_classification_BGS_Open_Report.pdf
Dove et al. (2020) https://zenodo.org/records/4075248
Nanson et al. (2023) - https://zenodo.org/record/7804019#.ZGZl6qXMK3B"
"Glacifluvial delta
(aka. glacier-fed
delta)",Glacial,"Lithology, relief","There are many different kinds of deltas; all have relatively flat delta plains, frequently triangular (fan) shaped in plan view, and steeper delta front slopes. In cross-section, the archetypal delta consists of flat-lying topset beds over steeper foreset beds, which rest on bottomset beds that are usually thin and fine-grained. The typical GLACIFLUVIAL DELTA usually consists of coarser-grained sediments, and their front slopes are steep with foreset beds generally dipping 10-30° Bell et al. 1997. In: Dowdeswell et al., 2016). GLACIFLUVIAL DELTAS are also referred to as glacier-fed deltas as terrestrial proglacial meltwater streams/rivers carry sediments from a glacier to the marine/lacustrine environment (Benn and Evans, 2010). ",Moderate constraint,Moderate constraint,Higher Constraint,Moderate constraint,Uneven ground / coarse soil units / homogeneous soils,"May require seabed preparation before installation of foundations. Variable soil units provide a challenge for suction caisson, particularly where potential thick gravel beds are interbedded with finer-grained soil units. Thick gravel beds can reduce friction along the outer surface. Potential for coarse gravel beds, and variability in soil profiles over the delta. This makes selecting a cable trenching tool more challenging as some tools can handle dense, coarse soil units whereas some cannot.","Evans, D.J., Roberts, D.H., Bateman, M.D., Clark, C.D., Medialdea, A., Callard, L., Grimoldi, E., Chiverrell, R.C., Ely, J., Dove, D. and Ó Cofaigh, C., 2021. Retreat dynamics of the eastern sector of the British–Irish Ice Sheet during the last glaciation. Journal of Quaternary Science, 36(5), pp.723-751."
"Glacifluvial
outwash plain
(sandur)",Glacial,"Lithology, relief","Laterally extensive flat plain of sand and gravel with braided streams of glacial meltwater flowing across them when active. (Bell et al. 1997. In: Dowdeswell et al., 2016).",Moderate constraint,Moderate constraint,Higher Constraint,Moderate constraint,Uneven ground / coarse soil units / homogeneous soils,"Variable soil units provide a challenge for suction caisson, particularly where potential thick gravel beds are interbedded with finer-grained soil units. Thick gravel beds can reduce friction along the outer surface. Potential for coarse gravel beds, and variability in soil profiles over the Sandur. This makes selecting a cable trenching tool more challenging as some tools can handle dense, coarse soil units whereas some cannot.","Evans, D.J., Roberts, D.H., Bateman, M.D., Clark, C.D., Medialdea, A., Callard, L., Grimoldi, E., Chiverrell, R.C., Ely, J., Dove, D. and Ó Cofaigh, C., 2021. Retreat dynamics of the eastern sector of the British–Irish Ice Sheet during the last glaciation. Journal of Quaternary Science, 36(5), pp.723-751."
"Grounding zone
wedge",Glacial,"Lithology, relief","A sedimentary depocentre formed at the grounding zone of an icesheet/ice-shelf system, formed of dipping diamicton beds overlain by horizontal sheets of diamicton, mainly subglacial till. Till emerging from beneath the glacier along a line-source is redistributed by subaqueous debris flows, producing diamicton beds that dip away from the margin. GZWs are usually asymmetrical in long-profile, steeper in the ice-distal direction (Bell et al. 1997. In: Dowdeswell et al., 2016).",Higher Constraint,Higher Constraint,Higher Constraint,Higher Constraint,Overconsolidated clays / extremely dense sands,"Variable soil conditions which may include heavily overconsolidated subglacial tills. Diamicton can be clast-rich, with cobble to boulder-sized clasts, unfavourable for most/all subsurface structures. May prove problematic for suction caisson where soil heterogeneity is unfavourable. Where present near-surface (e.g., <5 m sediment cover above), may prove problematic for certain cable/pipeline trenching equipment.","Evans, D.J., Phillips, E.R., Hiemstra, J.F., Auton, C.A. 2006. Subglacial till: formation, sedimentary characteristics and classification. Earth-Science Reviews. Vol. 78. p 115-176."
Erratic or glaciotectonic raft,Glacial,"Lithology, relief","Large rock or boulder carried by a glacier or by floating ice and deposited when the ice melted, well away from its place of origin and therefore contrasting with the country rock (Bell et al. 1997. In: Dowdeswell et al., 2016)",Higher Constraint,Higher Constraint,Higher Constraint,Higher Constraint,Rafts or boulders,"If unaccounted for, can provide significant challenge/constraint to most/all subsurface foundations (e.g., pile refusal / tip damage, damage / refusal or uneven emplacement of suction caisson and skirts for gravity base structures, cable/pipeline plough pop-up or deviation, poor penetration for drag embedment anchors). Significant and unexpected vertical and lateral variability in ground conditions incl. geotechnical parameters.","Dove, D., Arosio, R., Finlayson, A., Bradwell, T. and Howe, J.A., 2015. Submarine glacial landforms record Late Pleistocene ice-sheet dynamics, Inner Hebrides, Scotland. Quaternary Science Reviews, 123, pp.76-90."
Hill-hole pair,Glacial,"Lithology, relief","A discrete hill of ice-thrust material, often slightly deformed, situated down glacier from a depression of approximately the same size and shape. Either pre-existing drift or bedrock may be contained in the dislocated hill (Bell et al. 1997. In: Dowdeswell et al., 2016).",Moderate constraint,Moderate constraint,Moderate constraint,Moderate constraint,Uneven ground,"Potential for bedrock, restricting pile driving. Uneven surface with variable slope angles for GBS. Variable, deformed ground conditions unsuitable for suction caisson. Variable slope angles and lateral variability for cable and pipeline trenching, incl. possible encountering bedrock at seabed.","Evans, D.J., Roberts, D.H., Bateman, M.D., Clark, C.D., Medialdea, A., Callard, L., Grimoldi, E., Chiverrell, R.C., Ely, J., Dove, D. and Ó Cofaigh, C., 2021. Retreat dynamics of the eastern sector of the British–Irish Ice Sheet during the last glaciation. Journal of Quaternary Science, 36(5), pp.723-751."
Hummocky terrain (including crevasse squeeze ridges),Glacial,Lithology,"A landscape with a highly irregular surface, characterised by a series of small mounds, ridges and depressions. Associated with glacier/ice sheet grounding zones. ",Moderate constraint,Higher Constraint,Higher Constraint,Moderate constraint,Heterogeneous sediments,,"Evans, D.J., Roberts, D.H., Bateman, M.D., Clark, C.D., Medialdea, A., Callard, L., Grimoldi, E., Chiverrell, R.C., Ely, J., Dove, D. and Ó Cofaigh, C., 2021. Retreat dynamics of the eastern sector of the British–Irish Ice Sheet during the last glaciation. Journal of Quaternary Science, 36(5), pp.723-751."
Ice-contact delta (includes ice proximal fan),Glacial,"Lithology, relief","ICE-CONTACT DELTAS form at glacier margins and develop from e.g. ice proximal grounding line fans or other submerged depositional units (Benn and Evans, 2010).",Moderate constraint,Moderate constraint,Higher Constraint,Moderate constraint,Uneven ground,"May require seabed preparation before installation of foundations. Variable soil units provide a challenge for suction caisson, particularly where potential thick gravel beds are interbedded with finer-grained soil units. Thick gravel beds can reduce friction along the outer surface. Potential for coarse gravel beds, and variability in soil profiles over the delta. This makes selecting a cable trenching tool more challenging as some tools can handle dense, coarse soil units whereas some cannot.","Evans, D.J., Roberts, D.H., Bateman, M.D., Clark, C.D., Medialdea, A., Callard, L., Grimoldi, E., Chiverrell, R.C., Ely, J., Dove, D. and Ó Cofaigh, C., 2021. Retreat dynamics of the eastern sector of the British–Irish Ice Sheet during the last glaciation. Journal of Quaternary Science, 36(5), pp.723-751."
Meltwater channel (includes proglacial meltwater channel),Glacial,"Lithology, relief","A channel produced by the flow of glacial meltwater. Where the channel is subglacial, pressurized water may flow upslope as well as downslope, producing an undulating channel long-profile (Bell et al. 1997. In: Dowdeswell et al., 2016).",Moderate constraint,Higher Constraint,Higher Constraint,Moderate constraint,Heterogeneous sediments,"Channel infill can have very different grain sizes and geotechnical properties to those of the surrounding deposits into which they are cut. Can lead to uneven distribution of loads beneath GBS, lateral variability in geotechnical values across the footprint of a monopile, heterogeneous (and coarse-grained) soils that negatively impact on suction caisson performance, reduced anchor penetration depths, and may require changes in cable & pipeline trenching approaches/tools due to the variability along the planned trenching route (the corridor).

Can be engineered around but must be accounted for in planning foundation design.","Evans, D.J., Roberts, D.H., Bateman, M.D., Clark, C.D., Medialdea, A., Callard, L., Grimoldi, E., Chiverrell, R.C., Ely, J., Dove, D. and Ó Cofaigh, C., 2021. Retreat dynamics of the eastern sector of the British–Irish Ice Sheet during the last glaciation. Journal of Quaternary Science, 36(5), pp.723-751."
Open tunnel valley,Glacial,"Lithology, relief","A large subglacial, steep-sided channel cut into unconsolidated sediment or bedrock by meltwater and  forms a topographic expression on the seabed. The channel may have a reverse gradient in places (Bell et al. 1997. In: Dowdeswell et al., 2016).",Higher Constraint,Higher Constraint,Higher Constraint,Higher Constraint,Steep slopes,"Outer silver Pit, Well Hole, Markham's Hole, Sole Pit and Silver Pit in the offshore UK sector are examples of this - steep and possibly unstable sides and deep(er) water.","Briggs, K., Thomson, K., Gaffney, V., Gaffney, V.L. and Fitch, S., 2007. A geomorphological investigation of submerged depositional features within the Outer Silver Pit, southern North Sea. Mapping Doggerland: the Mesolithic landscapes of the southern North Sea. Archaeopress (Oxford).

Ward, I. and Larcombe, P., 2008. Determining the preservation rating of submerged archaeology in the post-glacial southern North Sea: a first-order geomorphological approach. Environmental Archaeology, 13(1), pp.59-83.

Cohen, K.M., Westley, K., Erkens, G., Hijma, M.P. and Weerts, H.J., 2017. The North Sea. Submerged landscapes of the European continental shelf: Quaternary paleoenvironments, pp.147-186."
Buried tunnel valley,Glacial,"Lithology, relief","A large subglacial, steep-sided channel cut into unconsolidated sediment or bedrock by meltwater. The channel may have a reverse gradient in places (Bell et al. 1997. In: Dowdeswell et al., 2016).
",Moderate constraint,Higher Constraint,Higher Constraint,Moderate constraint,Heterogeneous sediments,"Channel infill can have very different grain sizes and geotechnical properties to those of the surrounding deposits into which they are cut. Can lead to uneven distribution of loads beneath GBS, lateral variability in geotechnical values across the footprint of a monopile, heterogeneous (and coarse-grained) soils that negatively impact on suction caisson performance, reduced anchor penetration depths, and may require changes in cable & pipeline trenching approaches/tools due to the variability along the planned trenching route (the corridor).

Can be engineered around but must be accounted for in planning foundation design.","Huuse, M. and Kristensen, T.B., 2016. Pleistocene tunnel valleys in the North Sea Basin. Geological Society, London, Memoirs, 46(1), pp.207-208.

Stewart, M.A., Lonergan, L. and Hampson, G., 2013. 3D seismic analysis of buried tunnel valleys in the central North Sea: morphology, cross-cutting generations and glacial history. Quaternary Science Reviews, 72, pp.1-17.

Stewart, M.A. and Lonergan, L., 2011. Seven glacial cycles in the middle-late Pleistocene of northwest Europe: Geomorphic evidence from buried tunnel valleys. Geology, 39(3), pp.283-286."
Moraine,Glacial,"Lithology, relief","A mound, ridge or other distinct accumulation of generally unsorted, unstratified glaciogenic sediment, predominantly till, deposited chiefly by direct contact with glacier ice, commonly subglacial. See De Geer moraine, end moraine, fluted moraine, interlobate moraine, kame moraine, lateral moraine (Bell et al. 1997. In: Dowdeswell et al., 2016).",Moderate constraint,Higher Constraint,Higher Constraint,Moderate constraint,">5 degree slope, heterogeneous/ overconsolidated sediments",Potential for highly variable ground conditions and overconsolidation. Potential for obstructions such as cobble beds and boulders.,"Evans, D.J., Roberts, D.H. and Phillips, E., 2024. The late Quaternary glacial depositional environment at Filey Bay, eastern England: Accretionary mechanisms for thick sequences of tills and stratified diamictons. Proceedings of the Geologists' Association.

Cotterill, C.J., Phillips, E., James, L., Forsberg, C.F., Tjelta, T.I., Carter, G. and Dove, D., 2017. The evolution of the Dogger Bank, North Sea: A complex history of terrestrial, glacial and marine environmental change. Quaternary Science Reviews, 171, pp.136-153.

Phillips, E., Cotterill, C., Johnson, K., Crombie, K., James, L., Carr, S. and Ruiter, A., 2018. Large-scale glacitectonic deformation in response to active ice sheet retreat across Dogger Bank (southern central North Sea) during the Last Glacial Maximum. Quaternary Science Reviews, 179, pp.24-47.

Phillips E., Johnson, K., Ellen, R., Plenderleith, G., Dove, D., Carter, G., Dakin, N., Cotterill, C. 2022. Glacitectonic evidence of ice sheet interaction and retreat across the western part of Dogger Bank (North Sea) during the Last Glaciation. Proceedings of the Geologists' Association 133, 87–111."
Kettle hole,Glacial,"Lithology, relief","Steep-sided hollow produced by the melt-out of an original deposit which also contained finer materials that were removed by wind or water action (Bell et al. 1997. In: Dowdeswell et al., 2016).",Moderate constraint,Moderate constraint,Higher Constraint,Moderate constraint,Uneven ground,May be infilled with soils of varying geotechnical properties compared with the surrounding units into which they are emplaced. Can also contain peat so potential for shallow gas. Can be engineered around but must be accounted for in planning foundation design.,"Dove, D., Arosio, R., Finlayson, A., Bradwell, T. and Howe, J.A., 2015. Submarine glacial landforms record Late Pleistocene ice-sheet dynamics, Inner Hebrides, Scotland. Quaternary Science Reviews, 123, pp.76-90."
Streamlined landform (Crag and tail /drumlin / flute / groove),Glacial,"Lithology, relief","Streamlined landforms have been sculpted and moulded by glacier ice, moving in a coherent direction. These landforms can consist of bedrock, unconsolidated sediments or both. They are formed parallel to the ice flow direction and are considered good palaeo-flow indicators. Elongation is considered to be positively correlated with higher ice flow velocities (Stokes and Clark, 1999, 2002; Krabbendam et al., 2016)",Moderate constraint,Higher Constraint,Higher Constraint,Moderate constraint,Variable geotechnical properties depending on formation,"Similar to moraines, there is a potential for vertical and lateral variability across and beneath these landforms. As they have experienced ice loading, they may consist of overconsolidated soil units and may contain cobble to boulder sized clasts. Drumlins can be comprised of sediment or bedrock and would require to be assessed individually.  ","Krabbendam, M., Eyles, N., Putkinen, N., Bradwell, T. and Arbelaez-Moreno, L., 2016. Streamlined hard beds formed by palaeo-ice streams: A review. Sedimentary Geology, 338, pp.24-50.

Dove, D., Evans, D.J., Lee, J.R., Roberts, D.H., Tappin, D.R., Mellett, C.L., Long, D. and Callard, S.L., 2017. Phased occupation and retreat of the last British–Irish Ice Sheet in the southern North Sea; geomorphic and seismostratigraphic evidence of a dynamic ice lobe. Quaternary Science Reviews, 163, pp.114-134."
Esker,Glacial,"Lithology, relief","Sinuous elongate ridges of glaciofluvial sands and gravels, usually stratified and imbricated. Rarely exceed 700 m width and 50 m height. Form by depositional from meltwater streams in tunnel systems running perpendicular to the ice front. ",Moderate constraint,Higher Constraint,Higher Constraint,Moderate constraint,Heterogeneous sediments,"Typically comprise sand and gravel deposited by meltwater within or beneath an ice mass. Can be dense. Eskers are also possible resources for aggregates (e.g., Finland).","Dove, D., Arosio, R., Finlayson, A., Bradwell, T. and Howe, J.A., 2015. Submarine glacial landforms record Late Pleistocene ice-sheet dynamics, Inner Hebrides, Scotland. Quaternary Science Reviews, 123, pp.76-90."
Glaciolacustrine ,Glacial,Lithology,"Stratified sediments that display rhythmic or cyclic repetition of beds that form in subaqueous settings such as lakes and oceans, but also in  glaciofluvial systems (Giles et al. 2017)",Moderate constraint,Moderate constraint,Higher Constraint,Moderate constraint,Soft sediments," Ice-dammed lakes typically form massive deposits of soft clay. 

A hard stratum overlying a weaker one presents a danger that may cause a foundation to punch through the softer sediments.","Emery, A.R., Hodgson, D.M., Barlow, N.L., Carrivick, J.L., Cotterill, C.J., Richardson, J.C., Ivanovic, R.F. and Mellett, C.L., 2020. Ice sheet and palaeoclimate controls on drainage network evolution: an example from Dogger Bank, North Sea. Earth Surface Dynamics, 8(4), pp.869-891.

Prins, L.T., Andresen, K.J., Owen, M.J. and Knutz, P.C., 2022. A review of subsurface geosystems and de-risking offshore construction in the Danish North Sea. GEUS Bulletin, 52."
