Geological feature inventory,Spatial soil variability (lateral/vertical),Rafts or boulders,Coarse soil units (including gravel),Soft  soil units - low shear strength ,Overconsolidation (clays / extremely dense sands),Strong bedrock at/near seabed,Uneven ground (relief),Steep slopes/margins (>5 degree angle),Active sedimentary system (inc. mobile sediments),Shallow water (<15-20 m),Deep water (<200 m),Potential fault reactivation/seismic activity,Potential  slope failure,Potential volcanic activity,Potential conduit for fluids,Active fluid flow,Organic soils/gassy sediments,Unknown
Meltwater channel (includes proglacial meltwater channel),x,,,,,,,,,,,,,,,,,
Open tunnel valley,,,,,,,x,x,x,,,,,,,,,
Buried tunnel valley,x,,,,x,,,x,,,,,,,,,,
Moraine,x,x,,,x,,,,,,,,,,,,,
Kettle hole,x,,,,,,,,,,,,,,,,x,
Streamlined landform (Crag and tail /drumlin / flute / groove),x,x,,,x,x,x,x,,,,,,,,,,
Esker,x,,x,,x,,,,,,,,,,,,,
Glaciolacustrine ,x,,,x,,,,,,,,,,,,,,
Iceberg ploughmark (field),,,,,,,x,,,,,,,,,,,
U-shaped valley (e.g. Fjord),,,,,,,,x,,,x,,x,,,,,
Coarse lag deposits,,x,x,,x,,,,,,,,,,,,,
Marine bar form (Contourite drift/ sediment apron/ sediment drift/ sediment lobe/energetic wave or current regime),,,,,,,x,,,,,,,,,,,
Sediment bank/Bank crest,,,,,,,,x,,,,,,,,,,
Sediment waves/dunes,,,,,,,x,,,,,,,,,,,
Submarine canyon (canyon/ canyon head / canyon mouth / tributary canyon),x,,,,,x,x,x,x,,x,,x,,,,,
Submarine channel,x,,,,,,x,x,x,,x,,x,,,,,
Submarine fan,,,,,,,x,x,x,,x,,x,,,,,
Submarine or submerged delta - active,x,,x,,,,x,x,,,,,x,,,,,
Submarine or submerged delta - inactive,x,,x,x,,,,,,,,,,,,,,
Submarine gully,,,,,,,x,x,x,,x,,,,,,,
Alluvial fan,,x,x,,,,,x,x,,,,,,,,,
Buried/submerged river valley / channel,x,,,,,,,,,,,,,,,,,
Open river valley / channel,x,,,,,,x,x,x,,,,x,,,,,
Beach,,,x,,,,,x,x,x,,,,,,,,
Estuary,x,,,x,,,,x,x,x,,,,,,,,
Coastal bar form,x,,x,,,,,,x,x,,,,,,,,
Delta,x,,x,x,,,x,x,x,x,,,,,,,,
Barrier,,,x,,,,,,x,x,,,,,,,,
Back barrier (flats and lagoons),,,,x,,,,,,x,,,,,,,,
Tidal flat,,,,x,,,,,,x,,,,,,,,
Rocky coast,,x,,,,x,,x,,x,,,,,,,,
Buried or exposed eustatic escarpment (excessive seabed gradient),x,,,,,,x,x,,,,,,,,,,
Bedrock outcrop/subcrop (undifferentiated),,,,,,x,x,,,,,,,,,,,
Bedrock outcrop/subcrop; carbonate,x,,,,,x,x,,,,,,,,,,,
Bedrock outcrop/subcrop; sedimentary; clastic,,,,,,x,x,,,,,,,,,,,
Bedrock outcrop/subcrop; igneous,,,,,,x,x,,,,,,,,,,,
Bedrock outcrop/subcrop; metamorphic,,,,,,x,x,,,,,,,,,,,
Fractured bed rock,,,,,,x,x,,,,,,,,x,x,,
Seamount,x,,,,,x,x,x,,,,x,x,,,,,
Volcano or volcanic feature,,,,,,x,x,x,,,,x,,x,,,,
Tectonic lineament (fault),x,,,,,x,x,,,,,x,,,x,x,,
"Tectonic
escarpment",,,,,,x,x,x,,,,x,,,,,,
Tectonic depression,,,,,,,x,,,,,x,,,,,,
Depositional zone (aka. Accumulation zone; compressional domain) can include all mass movement (topple/fall/debris flows etc),x,x,,,x,,x,,,,,,,,,,,
Evacuation zone (aka. Headwall domain; depletion zone; extensional domain) can include all mass movement (topple/fall/debris flows etc),x,x,,,x,,x,x,x,,,,x,,,,,
Erratic blocks and rafts (non-glacial origin),x,x,,,,,x,x,,,,,,,,,,
Submerged Carbonate karst,,,,,,x,x,,,,,,,,,,,
Submerged salt karst,,,,,,x,x,,,,,,,,,,,
Submerged sandstone karst,,,,,,x,x,,,,,,,,,,,
Mud volcano,,,,x,,,x,,,,,,,,x,x,x,
Pockmark (individually mapped),,,,x,,,x,,,,,,,,x,x,x,
Pockmark (field),,,,x,,,x,,,,,,,,x,x,x,
Hydrothermal vent,,,,,,,x,,,,,,,,,x,,
Shallow gas ,,,,,,,,,,,,,,,,x,,
"Outcropping
methane-derived
authigenic
carbonate (MDAC)",,,,,x,,x,,,,,,,,,,,
"Reefs (ancient, buried and present day)",,,,,,x,x,x,,,,,,,,,,
Concretions ,x,x,,,,,,,,,,,,,,,,
Submerged salt or shale domes/diapir,,,,,,,x,,,,,,,,x,,,x
Clay Tectonics (polygonal fracture networks and folded layers/diapirs),,,,,,,x,,,,,,,,x,,,x
