Geological_Feature,Setting,Process,Definition,Piles_Assessment,Suction_Caisson_Assessment,GBS_Assessment,Cables_Assessment,Dominant_Constraint,Comments
"Submarine canyon (canyon/ canyon head / canyon mouth / tributary canyon)",Marine,"Lithology, relief","Steep-sided, GENERALLY V-shaped valleys with heads at or near the CONTINENTAL SHELF edge. They extend across the CONTINENTALSLOPE and are commonly linked to numerous tributaries, similar to unglaciated river-cut canyons on land (Amblas et al., 2018; Covault,2011; Harris and Baker, 2011; Huang et al., 2014; Pratson et al., 2007; Puig et al., 2014).",Higher Constraint,Higher Constraint,Higher Constraint,Higher Constraint,Active sedimentary system,"Typically extremely dynamic environments incl. sediment gravity flows / landslides, internal tides with high current velocities, mobile bedforms. Bedrock is often exposed along steep canyon flanks and terraces, also leading to very variable ground conditions. High water depths make submarine canyons unsuitable for all fixed foundations, and very unfavourable for anchoring systems. May be used for cables and pipelines but comprehensive due diligence / hazard assessments must be undertaken."
"Open river valley / channel",Fluvial,"Lithology, relief","Form via combinations of fluvial and coastal processes (see Additional Attributes: Marginal marine process classification); they widen by lateral SUBAERIAL CHANNEL erosion and weathering, and lengthen by both headward erosion and progradation in their lower reaches. SUBAERIAL VALLEYS can form networks with a variety of drainage patterns",Higher Constraint,Higher Constraint,Higher Constraint,Higher Constraint,Active sedimentary system,"Active sedimentary system"
Beach,Coastal,"Lithology, relief","A wave-deposited body of sand or gravel formed along open coast (marine), estuarine and lacustrine shorelines (beach face, shoreface, sandy shoal etc.)",Moderate constraint,Higher Constraint,Higher Constraint,Moderate constraint,"Shallow water depth (<15-20 m)","Exposure or displacement of near shore cables may result from coastal processes; increasing risk to cables from external threats. Cables can be protected via Horizontal drilling (HDD)."
"Rocky coast",Coastal,Lithology,"Any length of coast that is predominantly characterised by rock (rather than sediment or vegetation)",Higher Constraint,Higher Constraint,Higher Constraint,Moderate constraint,"Shallow water depth (<15-20 m)","Boulders can occur occasionally, especially in the areas of Rapakivi granite bedrock, and De Geer moraine fields (e.g., Finland). Exposure of near shore cables may result from coastal processes; increasing risk to cables from external threats. Cables can be protected via Horizontal drilling (HDD)."
"Bedrock outcrop/subcrop (undifferentiated)",Solid Earth,Lithology,"A relief formed by bedrock of unspecified lithology and genesis cropping out of the surrounding seabed. Subcropping of bedrock can be common and covered by thin sediment covers in sediment starved shelves.",Higher Constraint,Higher Constraint,Lower Constraint,Higher Constraint,Strong bedrock - undifferentiated,"Depending on the lithology and strength of the bedrock, pile driving may be successful however that would require significant weathering of rockhead to reduce the bedrock to strengths comparable with unlithified deposits (e.g., stiff clay characteristics). Cables must be surface-laid, increasing exposure to environmental and anthropogenic hazards. Sensitive benthic communities must be protected."
"Fractured bed rock",Solid Earth,Structure,"Bedrock of unspecified lithology and genesis that has multiple fractures or fracture networks causing discontinuities in the host rock that can be exploited by erosion.",Higher Constraint,Higher Constraint,Higher Constraint,Higher Constraint,Uneven ground,"Depending on the original porosity of the host bedrock, the secondary porosity is controlled by the density of the fracture or discontinuity network. Fractures and joints may act as conduits for surface and ground water increasing likelihood of weathering resulting in variable ground conditions. Cables must be surface-laid, increasing exposure to environmental and anthropogenic hazards."
"Tectonic lineament (fault)",Solid Earth,"Structure, Geohazard","A discrete surface, or zone of discrete surfaces, expressed as fractures at seabed, separating two rock masses across which one mass has slid past the other (Asch et al., 2021).",Higher Constraint,Higher Constraint,Higher Constraint,Higher Constraint,Faults / potential seismicity,"Unsuitable for all infrastructure types due to vertical and lateral variation, presence of bedrock (generally unfavourable) and associated hazards (e.g., seismic activity). Faults only considered geohazard if active. Geohazard considered where dynamic geological event or process that is a risk to development - e.g., pipeline rupture."
"Pockmark (individually mapped)",Fluid flow,"Geohazard, relief","A concave crater-like Depression formed by gas and/or fluid expulsion, typically one to tens of meters in diameter but can be up to a few hundred meters wide (Hovland et al., 1987). Pockmarks tend to be characteristic V-shaped depressions, with circular, or elliptical geometry. However, they can also present a W-shaped profile or more complex geometries.",Higher Constraint,Higher Constraint,Higher Constraint,Higher Constraint,Active fluid flow,"Individually mapped pockmarks. Pockmarks only considered geohazard if active. Geohazard considered where dynamic geological event or process that is a risk to development."
"Shallow gas",Fluid flow,Geohazard,"The presence of shallow biogenic or hydrocarbon-originated gas charged sediment. Any gas pocket encountered above the setting depth of the first pressure containment string, in a borehole (from Cook et al., 2022).",Higher Constraint,Higher Constraint,Higher Constraint,Higher Constraint,Active fluid flow,"Can lead to blowouts when drilling. Blowout Preventers (BOPs) are required for drilling in potentially gassy soils. Difficult to engineer around, avoidance is typically the main approach to de-risking developments in areas of gassy soils. Geohazard considered where dynamic geological event or process that is a risk to development."
"Reefs (ancient, buried and present day)",Biogenic,"Lithology, relief","In-situ, positive relief, persistent build-ups of primarily skeleton-supported framework (+ internal binding), that influence the local sedimentary environment (Klement, 1967), and supports (or supported) living communities during active accretion. Definition modified from a range of sources: (Cumings, 1932; Goudie, 2006; Harris and Baker, 2020; Klement, 1967; Lo Iacono et al., 2018).",Higher Constraint,Higher Constraint,Higher Constraint,Moderate constraint,"Active sedimentary system / hardground","Kaskela, A. & Rinne, H. 2018: Vedenalaisten Natura-luontotyyppien mallinnus Suomen merialueella (In Finnish). Geological Survey of Finland, Research report 6/2018, 36 p. Rinne, H., Kaskela, A., Downie, A.-L., Tolvanen, H., von Numers, M., Mattila, J., 2014. Predicting the occurrence of rocky reefs in a heterogeneous archipelago area with limited data. Estuar. Coast. Shelf Sci. 138, 90–100."
